length_mean;length_std;max_length;min_length;max_char_freq;min_char_freq;char_freq_std;code
7.0;0.0;7;7;5;2;1.5;1
7.0;0.0;7;7;6;1;2.5;1
5.0;0.0;5;5;4;1;1.5;1
7.0;0.0;7;7;5;2;1.5;1
5.0;0.0;5;5;4;1;1.5;1
6.0;0.0;6;6;5;1;2.0;1
2.0;0.0;2;2;2;0;1.0;1
6.0;0.0;6;6;4;2;1.0;1
7.0;0.0;7;7;6;1;2.5;1
7.0;0.0;7;7;5;2;1.5;1
7.0;0.0;7;7;4;3;0.5;1
6.0;0.0;6;6;3;3;0.0;1
7.0;0.0;7;7;5;2;1.5;1
6.0;0.0;6;6;4;2;1.0;1
6.0;0.0;6;6;3;3;0.0;1
7.0;0.0;7;7;4;3;0.5;1
5.0;0.0;5;5;5;0;2.5;1
7.0;0.0;7;7;5;2;1.5;1
6.0;0.0;6;6;4;2;1.0;1
6.0;0.0;6;6;4;2;1.0;1
7.0;0.0;7;7;5;2;1.5;1
5.0;0.0;5;5;3;2;0.5;1
7.0;0.0;7;7;4;3;0.5;1
6.0;0.0;6;6;3;3;0.0;1
7.0;0.0;7;7;6;1;2.5;1
5.0;0.0;5;5;4;1;1.5;1
7.0;0.0;7;7;4;3;0.5;1
7.0;0.0;7;7;4;3;0.5;1
7.0;0.0;7;7;5;2;1.5;1
7.0;0.0;7;7;4;3;0.5;1
6.0;0.0;6;6;4;2;1.0;1
5.0;0.0;5;5;4;1;1.5;1
7.0;0.0;7;7;6;1;2.5;1
7.0;0.0;7;7;5;2;1.5;1
4.0;0.0;4;4;4;0;2.0;1
7.0;0.0;7;7;4;3;0.5;1
7.0;0.0;7;7;5;2;1.5;1
7.0;0.0;7;7;4;3;0.5;1
7.0;0.0;7;7;4;3;0.5;1
6.0;0.0;6;6;3;3;0.0;1
6.0;0.0;6;6;4;2;1.0;1
7.0;0.0;7;7;5;2;1.5;1
6.0;0.0;6;6;5;1;2.0;1
6.0;0.0;6;6;4;2;1.0;1
6.0;0.0;6;6;4;2;1.0;1
6.0;0.0;6;6;4;2;1.0;1
7.0;0.0;7;7;4;3;0.5;1
7.0;0.0;7;7;5;2;1.5;1
6.0;0.0;6;6;4;2;1.0;1
7.0;0.0;7;7;4;3;0.5;1
3.0;0.0;3;3;2;1;0.5;1
7.0;0.0;7;7;4;3;0.5;1
7.0;0.0;7;7;6;1;2.5;1
7.0;0.0;7;7;4;3;0.5;1
7.0;0.0;7;7;5;2;1.5;1
7.0;0.0;7;7;4;3;0.5;1
7.0;0.0;7;7;6;1;2.5;1
7.0;0.0;7;7;5;2;1.5;1
7.0;0.0;7;7;5;2;1.5;1
7.0;0.0;7;7;5;2;1.5;1
7.0;0.0;7;7;4;3;0.5;1
6.0;0.0;6;6;6;0;3.0;1
6.0;0.0;6;6;5;1;2.0;1
7.0;0.0;7;7;4;3;0.5;1
6.0;0.0;6;6;3;3;0.0;1
5.0;0.0;5;5;3;2;0.5;1
5.0;0.0;5;5;3;2;0.5;1
5.0;0.0;5;5;3;2;0.5;1
7.0;0.0;7;7;6;1;2.5;1
7.0;0.0;7;7;5;2;1.5;1
7.0;0.0;7;7;4;3;0.5;1
7.0;0.0;7;7;4;3;0.5;1
6.0;0.0;6;6;4;2;1.0;1
3.0;0.0;3;3;2;1;0.5;1
6.0;0.0;6;6;3;3;0.0;1
7.0;0.0;7;7;4;3;0.5;1
6.0;0.0;6;6;3;3;0.0;1
6.0;0.0;6;6;3;3;0.0;1
5.0;0.0;5;5;4;1;1.5;1
7.0;0.0;7;7;4;3;0.5;1
7.0;0.0;7;7;4;3;0.5;1
6.0;0.0;6;6;4;2;1.0;1
7.0;0.0;7;7;5;2;1.5;1
6.0;0.0;6;6;3;3;0.0;1
7.0;0.0;7;7;6;1;2.5;1
6.0;0.0;6;6;4;2;1.0;1
7.0;0.0;7;7;4;3;0.5;1
7.0;0.0;7;7;4;3;0.5;1
7.0;0.0;7;7;5;2;1.5;1
6.0;0.0;6;6;4;2;1.0;1
7.0;0.0;7;7;5;2;1.5;1
6.0;0.0;6;6;5;1;2.0;1
4.0;2.160246899469287;7;2;6;6;0.0;1
4.0;1.0;5;3;5;3;1.0;1
3.0;0.0;3;3;5;1;2.0;1
5.0;2.345207879911715;7;1;12;8;2.0;1
10.0;0.0;10;10;31;29;1.0;1
5.0;1.0;6;4;7;3;2.0;1
5.0;2.0;7;3;7;3;2.0;1
5.0;1.8708286933869707;7;2;11;9;1.0;1
3.0;0.0;3;3;8;7;0.5;1
5.0;1.7320508075688772;7;2;21;19;1.0;1
6.666666666666667;0.4714045207910317;7;6;11;9;1.0;1
5.25;1.7853571071357126;7;3;13;8;2.5;1
8.0;0.0;8;8;18;14;2.0;1
4.8;1.8867962264113207;7;2;28;20;4.0;0
3.0;2.0;5;1;4;2;1.0;1
5.0;2.0;7;3;7;3;2.0;1
5.0;0.0;5;5;3;2;0.5;1
9.0;0.0;9;9;17;10;3.5;1
5.7;1.3453624047073711;7;3;29;28;0.5;1
5.0;0.0;5;5;17;8;4.5;1
5.0;0.8944271909999159;6;4;15;10;2.5;1
5.0;0.0;5;5;5;5;0.0;1
3.5;0.5;4;3;4;3;0.5;1
3.8;1.16619037896906;5;2;13;6;3.5;1
6.4;0.7999999999999999;7;5;20;12;4.0;1
4.666666666666667;1.8856180831641267;7;2;15;13;1.0;1
5.5;1.707825127659933;7;2;17;16;0.5;1
5.0;2.0;7;3;6;4;1.0;1
5.5;1.5;7;4;7;4;1.5;1
4.0;2.160246899469287;7;2;6;6;0.0;1
5.0;2.0;7;3;6;4;1.0;1
4.666666666666667;1.8856180831641267;6;2;7;7;0.0;1
5.333333333333333;0.4714045207910317;6;5;8;8;0.0;1
4.666666666666667;2.6246692913372702;7;1;8;6;1.0;1
4.75;1.0897247358851685;6;3;10;9;0.5;1
5.777777777777778;1.547598697464902;7;2;26;26;0.0;1
5.0;2.160246899469287;7;2;8;7;0.5;1
3.5;2.5;6;1;5;2;1.5;1
8.0;0.0;8;8;15;9;3.0;1
5.0;0.7559289460184544;6;4;19;16;1.5;1
3.5;0.5;4;3;5;2;1.5;1
8.0;0.0;8;8;12;12;0.0;1
5.0;0.0;5;5;21;9;6.0;1
6.0;1.0;7;4;20;16;2.0;1
10.0;0.0;10;10;34;26;4.0;1
4.0;0.0;4;4;11;9;1.0;1
5.0;0.0;5;5;17;13;2.0;1
4.5;1.8027756377319946;7;1;14;13;0.5;1
4.571428571428571;1.761261143705422;6;1;20;12;4.0;0
5.142857142857143;2.030381486221699;7;1;19;17;1.0;1
5.666666666666667;1.247219128924647;7;4;9;8;0.5;1
8.0;0.0;8;8;18;14;2.0;1
4.0;0.0;4;4;15;9;3.0;1
4.0;1.4142135623730951;5;2;6;6;0.0;1
10.0;0.0;10;10;25;15;5.0;1
5.0;1.0;6;4;7;3;2.0;1
3.0;0.0;3;3;7;5;1.0;1
3.75;1.1989578808281798;6;2;16;14;1.0;0
3.3333333333333335;2.6246692913372702;7;1;7;3;2.0;1
5.714285714285714;0.880630571852711;7;4;21;19;1.0;1
4.142857142857143;1.124858267715973;6;3;16;13;1.5;0
6.0;1.224744871391589;7;4;14;10;2.0;1
4.333333333333333;1.8856180831641267;7;3;9;4;2.5;1
4.285714285714286;1.577908716741037;7;2;18;12;3.0;0
5.5;0.5;6;5;7;4;1.5;1
4.0;1.0;5;3;6;2;2.0;1
9.0;0.0;9;9;19;17;1.0;1
3.0;0.0;3;3;8;7;0.5;1
4.5;2.362907813126304;7;1;14;13;0.5;0
9.0;0.0;9;9;38;25;6.5;1
4.25;1.6393596310755;7;3;9;8;0.5;1
5.2;1.469693845669907;7;3;14;12;1.0;1
9.0;0.0;9;9;9;9;0.0;1
4.7;1.7916472867168918;7;2;24;23;0.5;0
6.0;0.0;6;6;22;14;4.0;1
4.5;1.2583057392117916;6;3;14;13;0.5;1
4.6;1.6852299546352716;7;2;27;19;4.0;0
4.2;1.32664991614216;6;2;13;8;2.5;1
5.125;1.7633419974582356;7;2;25;16;4.5;0
5.8;1.7776388834631178;7;2;29;29;0.0;1
3.5;1.5;5;2;5;2;1.5;1
3.8333333333333335;2.266911751455907;7;1;12;11;0.5;0
5.0;1.632993161855452;7;3;11;4;3.5;1
6.0;0.0;6;6;23;19;2.0;1
4.0;0.0;4;4;15;13;1.0;1
4.4;2.1540659228538015;7;1;11;11;0.0;1
4.5;1.746424919657298;7;2;23;22;0.5;0
8.0;0.0;8;8;32;24;4.0;1
10.0;0.0;10;10;14;6;4.0;1
5.428571428571429;1.5907898179514348;7;3;21;17;2.0;1
5.0;0.0;5;5;5;0;2.5;1
3.0;0.0;3;3;8;7;0.5;1
4.142857142857143;1.1248582677159729;6;2;15;14;0.5;1
4.0;0.0;4;4;15;13;1.0;1
4.0;0.0;4;4;10;10;0.0;1
3.6666666666666665;1.699673171197595;6;2;7;4;1.5;1
6.0;0.0;6;6;8;4;2.0;1
5.428571428571429;1.3997084244475304;7;3;19;19;0.0;1
4.375;1.996089927833914;7;2;19;16;1.5;0
5.0;2.160246899469287;7;2;8;7;0.5;1
4.428571428571429;1.840585532389304;7;1;16;15;0.5;0
5.0;2.160246899469287;7;2;10;5;2.5;1
5.4;1.2;7;3;28;26;1.0;1
9.0;0.0;9;9;10;8;1.0;1
7.0;0.0;7;7;22;20;1.0;1
8.0;0.0;8;8;20;12;4.0;1
2.3333333333333335;1.247219128924647;4;1;4;3;0.5;1
9.0;0.0;9;9;12;6;3.0;1
5.5;1.5;7;3;13;9;2.0;1
4.6;0.8;6;4;12;11;0.5;1
7.0;0.0;7;7;5;2;1.5;1
5.5;0.5;6;5;17;5;6.0;1
6.0;0.0;6;6;6;0;3.0;1
5.6;2.33238075793812;7;1;16;12;2.0;1
3.0;1.632993161855452;5;1;5;4;0.5;1
4.6;1.7435595774162693;7;2;13;10;1.5;1
9.0;0.0;9;9;34;20;7.0;1
7.0;0.0;7;7;4;3;0.5;1
4.0;1.632993161855452;6;2;8;4;2.0;1
2.0;1.0;3;1;2;2;0.0;1
5.0;2.1213203435596424;7;2;12;8;2.0;1
7.0;0.0;7;7;5;2;1.5;1
5.25;2.48746859276655;7;1;13;8;2.5;1
3.6666666666666665;2.494438257849294;7;1;7;4;1.5;1
5.2;1.6;7;3;13;13;0.0;1
3.888888888888889;1.7284832429004495;7;1;18;17;0.5;0
4.333333333333333;1.1547005383792515;7;3;20;19;0.5;1
6.0;0.0;6;6;17;13;2.0;1
4.0;0.0;4;4;9;7;1.0;1
6.0;0.0;6;6;15;9;3.0;1
10.0;0.0;10;10;27;23;2.0;1
7.0;0.0;7;7;18;17;0.5;1
2.5;0.5;3;2;4;1;1.5;1
2.3333333333333335;0.9428090415820634;3;1;5;2;1.5;1
2.0;0.0;2;2;1;1;0.0;1
3.0;0.0;3;3;2;1;0.5;1
8.0;0.0;8;8;9;7;1.0;1
3.6666666666666665;2.0548046676563256;6;1;7;4;1.5;1
7.0;0.0;7;7;26;16;5.0;1
3.75;1.6393596310755;5;1;9;6;1.5;1
3.0;2.0;5;1;4;2;1.0;1
4.0;2.449489742783178;7;1;7;5;1.0;1
4.0;0.0;4;4;11;9;1.0;1
4.9;1.7;7;2;28;21;3.5;0
7.0;0.0;7;7;8;6;1.0;1
2.6666666666666665;2.3570226039551585;6;1;4;4;0.0;0
5.25;1.0897247358851685;7;4;22;20;1.0;1
10.0;0.0;10;10;11;9;1.0;1
9.0;0.0;9;9;14;13;0.5;1
1.0;0.0;1;1;1;0;0.5;1
7.0;0.0;7;7;13;8;2.5;1
4.0;0.0;4;4;4;4;0.0;1
7.0;0.0;7;7;5;2;1.5;1
3.6;0.8;5;3;11;7;2.0;1
1.5;0.5;2;1;2;1;0.5;1
7.0;0.0;7;7;22;13;4.5;1
5.333333333333333;1.247219128924647;7;4;10;6;2.0;1
3.2;0.9797958971132712;5;2;8;8;0.0;1
4.857142857142857;1.551825784457174;7;2;17;17;0.0;1
6.333333333333333;0.4714045207910317;7;6;10;9;0.5;1
3.75;1.299038105676658;5;2;9;6;1.5;1
5.1;1.9209372712298547;7;1;26;25;0.5;0
10.0;0.0;10;10;10;10;0.0;1
3.6666666666666665;1.8856180831641267;5;1;7;4;1.5;1
4.666666666666667;1.247219128924647;6;3;10;4;3.0;1
5.25;1.920286436967152;7;2;13;8;2.5;1
4.7;1.2688577540449522;7;3;25;22;1.5;0
10.0;0.0;10;10;30;20;5.0;1
4.0;2.1213203435596424;7;2;10;6;2.0;1
10.0;0.0;10;10;29;21;4.0;1
4.333333333333333;1.699673171197595;6;2;7;6;0.5;1
9.0;0.0;9;9;10;8;1.0;1
3.5;2.5;6;1;4;3;0.5;1
3.75;1.299038105676658;6;3;8;7;0.5;1
8.0;0.0;8;8;25;23;1.0;1
5.0;0.0;5;5;3;2;0.5;1
9.0;0.0;9;9;16;11;2.5;1
5.0;0.0;5;5;18;17;0.5;1
3.8333333333333335;1.5723301886761005;6;2;14;9;2.5;0
4.6;1.5620499351813308;7;2;23;23;0.0;0
9.0;0.0;9;9;27;27;0.0;1
7.0;0.0;7;7;4;3;0.5;1
4.4;1.4966629547095764;6;2;12;10;1.0;1
5.142857142857143;1.1248582677159729;6;3;20;16;2.0;1
6.0;0.0;6;6;4;2;1.0;1
3.8;1.9390719429665317;6;1;10;9;0.5;0
10.0;0.0;10;10;12;8;2.0;1
5.6;1.7435595774162693;7;3;14;14;0.0;1
5.0;1.5491933384829668;7;2;25;25;0.0;0
5.571428571428571;1.2936264483053452;7;3;22;17;2.5;1
4.0;1.0;5;3;4;4;0.0;1
5.5;0.8660254037844386;6;4;12;10;1.0;1
4.875;1.6153559979150107;7;2;23;16;3.5;1
2.5;0.5;3;2;3;2;0.5;1
4.428571428571429;1.6781914463529617;6;1;16;15;0.5;0
8.0;0.0;8;8;22;18;2.0;1
5.714285714285714;1.0301575072754257;7;4;21;19;1.0;1
5.0;1.0;6;4;6;4;1.0;1
4.0;3.0;7;1;5;3;1.0;1
7.0;0.0;7;7;4;3;0.5;1
3.0;0.0;3;3;11;7;2.0;1
5.222222222222222;1.314684396244359;7;3;28;19;4.5;0
5.0;0.0;5;5;15;10;2.5;1
4.833333333333333;1.674979270186815;7;3;17;12;2.5;1
4.222222222222222;1.617802197617893;7;1;20;18;1.0;0
8.0;0.0;8;8;29;27;1.0;1
10.0;0.0;10;10;29;21;4.0;1
5.0;0.0;5;5;12;8;2.0;1
6.0;0.0;6;6;21;15;3.0;1
5.75;1.6393596310755;7;3;27;19;4.0;0
6.0;0.0;6;6;3;3;0.0;1
4.5;1.5;6;3;6;3;1.5;1
2.5;1.5;4;1;4;1;1.5;1
4.4;1.9595917942265424;7;1;13;9;2.0;1
6.0;1.4142135623730951;7;4;11;7;2.0;1
4.714285714285714;1.3850513878332367;7;2;17;16;0.5;0
7.0;0.0;7;7;6;1;2.5;1
4.142857142857143;1.8844151368961313;7;1;17;12;2.5;0
4.0;2.5495097567963922;7;1;9;7;1.0;1
4.5;2.5;7;2;6;3;1.5;1
7.0;0.0;7;7;20;15;2.5;1
6.333333333333333;0.4714045207910317;7;6;10;9;0.5;1
10.0;0.0;10;10;22;18;2.0;1
4.666666666666667;1.3743685418725535;7;3;17;11;3.0;1
3.5;1.118033988749895;5;2;8;6;1.0;1
6.0;0.0;6;6;3;3;0.0;1
9.0;0.0;9;9;24;21;1.5;1
5.25;0.82915619758885;6;4;13;8;2.5;1
4.125;2.027159342528357;7;1;20;13;3.5;0
3.0;0.0;3;3;6;3;1.5;1
5.0;1.632993161855452;7;3;9;6;1.5;1
4.75;1.299038105676658;6;3;12;7;2.5;1
10.0;0.0;10;10;26;24;1.0;1
3.0;0.7071067811865476;4;2;7;5;1.0;1
3.8;1.7204650534085253;6;1;11;8;1.5;1
6.0;0.0;6;6;14;4;5.0;1
7.0;0.0;7;7;4;3;0.5;1
2.0;0.0;2;2;2;2;0.0;1
5.4;1.0198039027185568;7;4;14;13;0.5;1
4.8;2.039607805437114;7;1;13;11;1.0;0
4.5;1.707825127659933;7;2;14;13;0.5;1
9.0;0.0;9;9;18;9;4.5;1
5.0;1.632993161855452;7;2;17;13;2.0;1
4.6;0.7999999999999999;5;3;13;10;1.5;1
3.0;0.816496580927726;4;2;5;4;0.5;1
5.142857142857143;2.030381486221699;7;1;19;17;1.0;1
4.666666666666667;1.3743685418725535;6;2;15;13;1.0;1
9.0;0.0;9;9;28;26;1.0;1
5.0;0.816496580927726;6;4;10;5;2.5;1
4.714285714285714;1.577908716741037;7;3;17;16;0.5;1
4.666666666666667;2.6246692913372702;7;1;8;6;1.0;1
4.166666666666667;2.034425935955617;7;1;13;12;0.5;0
5.0;1.0;6;4;6;4;1.0;1
4.5;1.6583123951777;7;2;21;15;3.0;0
3.8333333333333335;1.3437096247164249;6;2;12;11;0.5;1
4.4;1.8547236990991407;7;2;15;7;4.0;1
7.0;0.0;7;7;5;2;1.5;1
5.166666666666667;1.0671873729054748;7;4;19;12;3.5;1
3.75;1.920286436967152;6;1;10;5;2.5;1
3.25;2.277608394786075;7;1;7;6;0.5;0
5.555555555555555;1.0657403385139377;7;4;26;24;1.0;0
4.4;1.7435595774162693;7;2;12;10;1.0;1
5.0;1.3416407864998738;7;3;26;24;1.0;0
4.666666666666667;1.5634719199411433;7;2;22;20;1.0;0
3.5;0.5;4;3;5;2;1.5;1
5.5;1.2583057392117916;7;4;17;16;0.5;1
4.333333333333333;0.4714045207910317;5;4;8;5;1.5;1
6.0;0.0;6;6;10;8;1.0;1
4.333333333333333;1.4142135623730951;7;2;24;15;4.5;0
5.5;0.5;6;5;6;5;0.5;1
5.555555555555555;1.4989708403591155;7;3;30;20;5.0;0
4.5;1.5;6;3;5;4;0.5;1
4.2;1.469693845669907;6;2;11;10;0.5;0
4.2;1.6;6;2;12;9;1.5;1
5.375;1.4947825928876748;7;3;22;21;0.5;1
10.0;0.0;10;10;30;20;5.0;1
5.0;0.0;5;5;3;2;0.5;1
5.166666666666667;1.3437096247164249;7;3;18;13;2.5;1
3.5;0.7637626158259734;5;3;12;9;1.5;1
6.0;0.0;6;6;10;8;1.0;1
7.0;0.0;7;7;13;8;2.5;1
3.0;0.0;3;3;7;5;1.0;1
4.0;0.0;4;4;15;13;1.0;1
5.5;0.5;6;5;6;5;0.5;1
6.5;0.5;7;6;9;4;2.5;1
5.333333333333333;1.699673171197595;7;2;18;14;2.0;1
4.666666666666667;1.8856180831641267;6;2;8;6;1.0;1
6.0;1.224744871391589;7;4;13;11;1.0;1
5.5;1.8929694486000912;7;2;17;16;0.5;1
3.0;1.632993161855452;5;1;6;3;1.5;1
9.0;0.0;9;9;10;8;1.0;1
4.0;1.7638342073763937;7;1;20;16;2.0;0
3.6666666666666665;2.0548046676563256;6;1;6;5;0.5;1
5.625;1.5761900266148114;7;3;24;21;1.5;1
4.75;1.299038105676658;7;4;10;9;0.5;1
4.0;0.0;4;4;2;2;0.0;1
3.0;0.0;3;3;11;10;0.5;1
5.0;0.0;5;5;3;2;0.5;1
4.0;0.9428090415820634;6;3;21;15;3.0;0
5.333333333333333;0.9428090415820634;6;4;11;5;3.0;1
5.5;0.5;6;5;6;5;0.5;1
5.25;1.3919410907075054;7;3;23;19;2.0;0
4.8;1.6;6;2;13;11;1.0;1
2.6666666666666665;1.699673171197595;5;1;6;2;2.0;0
6.0;1.5491933384829668;7;3;15;15;0.0;1
4.571428571428571;1.761261143705422;7;2;18;14;2.0;0
3.875;1.6909686573085854;6;1;16;15;0.5;0
5.333333333333333;0.4714045207910317;6;5;10;6;2.0;1
5.333333333333333;1.699673171197595;7;2;19;13;3.0;1
6.0;0.0;6;6;11;7;2.0;1
5.125;1.6153559979150107;7;2;23;18;2.5;0
5.0;0.0;5;5;8;2;3.0;1
4.0;2.160246899469287;7;1;12;12;0.0;0
4.0;1.8708286933869707;7;2;9;7;1.0;1
4.4;0.7999999999999999;6;4;13;9;2.0;1
4.6;2.0591260281974;7;1;12;11;0.5;1
7.0;0.0;7;7;24;18;3.0;1
10.0;0.0;10;10;27;13;7.0;1
4.666666666666667;0.9428090415820634;6;4;9;5;2.0;1
4.0;2.160246899469287;7;2;8;4;2.0;1
4.333333333333333;2.0548046676563256;7;2;7;6;0.5;1
6.0;1.224744871391589;7;4;16;8;4.0;1
4.75;0.82915619758885;6;4;13;6;3.5;1
5.0;0.0;5;5;15;15;0.0;1
3.0;0.0;3;3;3;3;0.0;1
3.0;0.0;3;3;11;7;2.0;1
5.0;0.7071067811865476;6;4;11;9;1.0;1
7.0;0.0;7;7;20;8;6.0;1
5.0;1.632993161855452;7;3;8;7;0.5;1
2.6666666666666665;0.4714045207910317;3;2;4;4;0.0;1
3.4;1.624807680927192;6;1;12;5;3.5;1
8.0;0.0;8;8;30;26;2.0;1
1.5;0.5;2;1;2;1;0.5;1
3.5;2.5;6;1;5;2;1.5;1
