length_mean;length_std;max_length;min_length;global_zero_character_freq;global_one_character_freq;char_freq_std;zero_char_freq_std;one_char_freq_std;code
5.0;1.5491933384829668;6;2;14;11;1.5;0.25086516962969035;0.25086516962969035;1
5.5;1.5;7;4;7;4;1.5;0.10714285714285715;0.10714285714285715;1
4.25;1.479019945774904;6;2;8;9;0.5;0.2345207879911715;0.2345207879911715;1
4.875;1.6909686573085854;7;3;23;16;3.5;0.18365169289369782;0.18365169289369776;1
4.714285714285714;1.905952009160905;7;2;21;12;4.5;0.13747136311538244;0.13747136311538244;1
6.5;0.5;7;6;4;9;2.5;0.1785714285714286;0.17857142857142855;1
5.444444444444445;1.3425606637327303;7;3;30;19;5.5;0.2062406443496631;0.2062406443496631;1
3.2;1.9390719429665317;7;2;8;8;0.0;0.32590359299559374;0.32590359299559374;1
3.75;1.479019945774904;6;2;8;7;0.5;0.24650332429581734;0.2465033242958173;1
3.8;1.32664991614216;6;2;11;8;1.5;0.23333333333333334;0.23333333333333334;1
4.0;0.0;4;4;3;5;1.0;0.125;0.125;1
3.6666666666666665;0.9428090415820634;5;3;6;5;0.5;0.29979416807182313;0.29979416807182313;1
5.0;2.0;7;3;4;6;1.0;0.19047619047619047;0.1904761904761905;1
4.25;1.479019945774904;6;2;10;7;1.5;0.2894858948780291;0.28948589487802917;1
4.5;1.8027756377319946;7;2;7;11;2.0;0.31059110858924127;0.31059110858924127;1
4.5;1.5;6;3;8;1;3.5;0.16666666666666669;0.16666666666666666;1
6.0;0.0;6;6;2;4;1.0;0.0;0.0;1
4.75;2.277608394786075;7;1;7;12;2.5;0.2887929371439296;0.2887929371439296;1
4.0;3.0;7;1;4;4;0.0;0.2857142857142857;0.28571428571428575;1
4.857142857142857;1.1248582677159729;6;3;16;18;1.0;0.2190734974361608;0.21907349743616078;1
5.25;1.920286436967152;7;2;12;9;1.5;0.18015173750501853;0.1801517375050185;1
5.333333333333333;2.357022603955158;7;2;7;9;1.0;0.29354352395090366;0.29354352395090366;1
4.5;2.5;7;2;6;3;1.5;0.2142857142857143;0.21428571428571427;1
4.2;1.8330302779823362;6;1;8;13;2.5;0.2603416558635552;0.2603416558635552;1
4.5;0.5;5;4;4;5;0.5;0.04999999999999999;0.04999999999999999;1
3.4;1.8547236990991407;7;2;8;9;0.5;0.2320176707634254;0.2320176707634254;1
4.5;0.5;5;4;8;10;1.0;0.3570714214271425;0.3570714214271425;1
4.0;0.816496580927726;5;3;5;7;1.0;0.23425742935897795;0.23425742935897795;1
4.5;2.0615528128088303;6;1;10;8;1.0;0.2822282370312683;0.2822282370312683;1
4.5;1.6583123951777;7;3;7;11;2.0;0.239365658287372;0.23936565828737202;1
2.5;0.5;3;2;4;6;1.0;0.36084391824351614;0.3608439182435161;1
6.0;0.0;6;6;7;5;1.0;0.08333333333333331;0.08333333333333334;1
3.3333333333333335;2.0548046676563256;6;1;6;4;1.0;0.408248290463863;0.408248290463863;1
4.0;1.632993161855452;6;2;5;7;1.0;0.07856742013183862;0.0785674201318386;1
4.25;2.165063509461097;7;1;9;8;0.5;0.24693917081263686;0.2469391708126369;1
3.0;0.816496580927726;4;2;7;2;2.5;0.20786985482077452;0.20786985482077452;1
3.3333333333333335;1.8856180831641267;6;2;2;8;3.0;0.20786985482077452;0.20786985482077452;1
4.25;2.384848003542364;7;1;10;7;1.5;0.2493614293530168;0.2493614293530168;1
4.0;3.0;7;1;5;3;1.0;0.2142857142857143;0.21428571428571427;1
5.5;1.5;7;4;13;9;2.0;0.22214027329687014;0.22214027329687017;1
3.6666666666666665;1.247219128924647;5;2;5;6;0.5;0.3064129385141706;0.3064129385141706;1
4.333333333333333;0.9428090415820634;5;3;7;6;0.5;0.1133115447465063;0.11331154474650633;1
4.75;0.4330127018922193;5;4;9;10;0.5;0.20425168297960242;0.2042516829796024;1
4.166666666666667;1.4624940645653537;7;3;10;15;2.5;0.2258211967463967;0.2258211967463967;1
7.0;0.0;7;7;2;5;1.5;0.0;0.0;1
4.666666666666667;1.247219128924647;6;3;9;5;2.0;0.12272623352430292;0.1227262335243029;1
4.166666666666667;2.1147629234082532;7;1;13;12;0.5;0.32813525416196215;0.32813525416196215;1
5.0;2.8284271247461903;7;1;9;6;1.5;0.34992710611188255;0.3499271061118826;1
4.833333333333333;2.1921577396609844;7;1;12;17;2.5;0.25153221569087386;0.25153221569087386;1
5.333333333333333;2.0548046676563256;7;1;17;15;1.0;0.25438953154886856;0.2543895315488686;1
3.5;1.5;5;2;3;4;0.5;0.3;0.3;1
5.2;1.16619037896906;7;4;14;12;1.0;0.1811440088091175;0.18114400880911752;1
4.25;0.82915619758885;5;3;11;6;2.5;0.21901769334919038;0.21901769334919038;1
4.333333333333333;2.494438257849294;7;1;10;3;3.5;0.16550616378078825;0.16550616378078825;1
6.0;1.0;7;5;5;7;1.0;0.014285714285714263;0.01428571428571429;1
3.6;1.9595917942265424;7;1;9;9;0.0;0.23406106147513348;0.23406106147513348;1
7.0;0.0;7;7;3;4;0.5;0.0;0.0;1
4.5;2.5;7;2;5;4;0.5;0.28571428571428575;0.2857142857142857;1
4.5;0.5;5;4;7;2;2.5;0.025000000000000022;0.024999999999999994;1
4.75;1.479019945774904;7;3;11;8;1.5;0.32017115161508636;0.3201711516150863;1
5.5;1.5;7;4;6;5;0.5;0.0357142857142857;0.035714285714285726;1
3.75;1.299038105676658;5;2;9;6;1.5;0.16894279110594412;0.1689427911059441;1
5.5;1.5;7;4;8;3;2.5;0.17857142857142855;0.1785714285714286;1
4.333333333333333;1.699673171197595;7;2;14;12;1.0;0.2242414637483353;0.22424146374833526;1
7.0;0.0;7;7;2;5;1.5;0.0;0.0;1
4.5;2.5;7;2;5;4;0.5;0.0357142857142857;0.035714285714285726;1
4.8;1.8330302779823362;7;3;8;16;4.0;0.21591969616675494;0.21591969616675497;1
4.5;1.5;7;2;11;16;2.5;0.18661639872237606;0.18661639872237606;1
5.428571428571429;1.6781914463529615;7;3;19;19;0.0;0.24870807841664982;0.2487080784166498;1
3.3333333333333335;0.4714045207910317;4;3;5;5;0.0;0.13608276348795434;0.13608276348795434;1
4.0;2.160246899469287;7;2;6;6;0.0;0.291821846203972;0.29182184620397206;1
4.333333333333333;2.0548046676563256;7;2;5;8;1.5;0.10101525445522108;0.10101525445522108;1
4.25;1.920286436967152;7;2;9;8;0.5;0.09761178834797461;0.09761178834797464;1
5.0;0.0;5;5;0;5;2.5;0.0;0.0;1
4.0;1.8708286933869707;6;1;6;10;2.0;0.2747157621979489;0.2747157621979489;1
4.0;0.816496580927726;5;3;8;4;2.0;0.06136311676215146;0.06136311676215146;1
5.75;0.82915619758885;7;5;14;9;2.5;0.16974620911880212;0.16974620911880206;1
5.0;0.0;5;5;6;4;1.0;0.2;0.19999999999999998;1
3.6666666666666665;1.247219128924647;5;2;6;5;0.5;0.3064129385141706;0.3064129385141706;1
4.6;1.3564659966250536;7;3;11;12;0.5;0.1434400804842998;0.14344008048429982;1
5.0;1.8708286933869707;7;2;10;10;0.0;0.31059110858924127;0.31059110858924127;1
5.0;0.8944271909999159;6;4;14;11;1.5;0.25482019804821854;0.25482019804821854;1
5.25;1.299038105676658;7;4;14;7;3.5;0.09574826156038936;0.09574826156038936;1
5.0;2.8284271247461903;7;1;7;8;0.5;0.3563483225498992;0.3563483225498992;1
4.8;2.039607805437114;7;1;13;11;1.0;0.20483940947354196;0.20483940947354196;1
5.5;1.118033988749895;7;4;12;10;1.0;0.35490369489913914;0.35490369489913914;1
4.5;1.2583057392117916;7;3;13;14;0.5;0.12606625112400852;0.12606625112400852;1
5.625;1.4086784586980805;7;3;21;24;1.5;0.24082659524976024;0.24082659524976024;1
4.5;0.5;5;4;6;3;1.5;0.07500000000000001;0.07500000000000001;1
5.5;0.5;6;5;8;3;2.5;0.1166666666666667;0.11666666666666668;1
4.875;1.165922381636102;6;3;22;17;2.5;0.22726483572157738;0.22726483572157738;1
3.75;1.479019945774904;6;2;8;7;0.5;0.3535533905932738;0.3535533905932738;1
4.333333333333333;1.699673171197595;7;2;14;12;1.0;0.20665423121097676;0.20665423121097679;1
5.0;1.0;6;4;7;3;2.0;0.25;0.25;1
4.25;2.384848003542364;7;1;3;14;5.5;0.37960139913101243;0.37960139913101243;1
4.5;2.29128784747792;7;1;10;8;1.0;0.27822207948005145;0.27822207948005145;1
3.25;1.920286436967152;6;1;5;8;1.5;0.369754986443726;0.369754986443726;1
3.0;2.0;5;1;4;2;1.0;0.4;0.4;1
2.5;1.5;4;1;3;2;0.5;0.25;0.25;1
3.6666666666666665;0.4714045207910317;4;3;6;5;0.5;0.0785674201318386;0.07856742013183862;1
3.6;2.1540659228538015;7;1;8;10;1.0;0.272281033954345;0.272281033954345;1
7.0;0.0;7;7;2;5;1.5;0.0;0.0;1
6.333333333333333;0.4714045207910317;7;6;11;8;1.5;0.06827242275430655;0.06827242275430657;1
6.2;0.7483314773547882;7;5;13;18;2.5;0.15316465137504476;0.15316465137504479;1
6.0;1.5491933384829668;7;3;20;10;5.0;0.2086562123829204;0.20865621238292043;1
4.833333333333333;1.462494064565354;6;2;12;17;2.5;0.1784060080370157;0.1784060080370157;1
4.25;0.4330127018922193;5;4;10;7;1.5;0.2701272848121789;0.2701272848121789;1
6.0;0.7071067811865476;7;5;12;12;0.0;0.13271540485115982;0.13271540485115982;1
6.25;0.82915619758885;7;5;13;12;0.5;0.23590360362673907;0.2359036036267391;1
3.5;1.5;5;2;4;3;0.5;0.04999999999999999;0.04999999999999999;1
2.0;1.0;3;1;2;2;0.0;0.3333333333333333;0.33333333333333337;1
6.25;1.299038105676658;7;4;10;15;2.5;0.16268631391329105;0.16268631391329103;1
3.25;0.82915619758885;4;2;5;8;1.5;0.2525907427704613;0.2525907427704613;1
7.0;0.0;7;7;5;2;1.5;0.0;0.0;1
4.333333333333333;0.4714045207910317;5;4;4;9;2.5;0.13123346456686352;0.13123346456686352;1
5.6;1.3564659966250536;7;4;15;13;1.0;0.1774408655608258;0.17744086556082583;1
2.6666666666666665;0.9428090415820634;4;2;4;4;0.0;0.31180478223116176;0.31180478223116176;1
4.0;2.0;6;2;3;5;1.0;0.08333333333333334;0.08333333333333331;1
4.666666666666667;1.699673171197595;7;3;10;18;4.0;0.2452945946115173;0.24529459461151734;1
5.5;1.3844373104863459;7;3;14;19;2.5;0.22673979523733384;0.22673979523733384;1
7.0;0.0;7;7;7;7;0.0;0.07142857142857142;0.07142857142857142;1
5.0;1.4142135623730951;7;3;20;15;2.5;0.20127491744392514;0.2012749174439251;1
3.75;1.920286436967152;7;2;6;9;1.5;0.14999527581373992;0.14999527581373992;1
3.25;2.277608394786075;7;1;5;8;1.5;0.2829103485313368;0.2829103485313368;1
5.0;1.4142135623730951;7;4;5;10;2.5;0.08417937871268422;0.08417937871268424;1
5.0;0.0;5;5;6;4;1.0;0.0;0.0;1
5.0;2.0;7;3;4;6;1.0;0.047619047619047616;0.047619047619047616;1
3.3333333333333335;2.0548046676563256;6;1;4;6;1.0;0.20786985482077452;0.20786985482077452;1
5.2;1.6;7;3;14;12;1.0;0.21486482593490325;0.21486482593490328;1
2.5;0.5;3;2;4;1;1.5;0.25;0.25;1
2.0;0.0;2;2;1;1;0.0;0.0;0.0;1
3.0;0.0;3;3;2;1;0.5;0.0;0.0;1
3.75;2.165063509461097;7;1;8;7;0.5;0.24592771738230473;0.2459277173823047;1
4.8;2.039607805437114;7;2;10;14;2.0;0.2652068888199381;0.2652068888199381;1
4.6;1.8547236990991407;7;2;13;10;1.5;0.20456025508192854;0.20456025508192854;1
4.75;0.4330127018922193;5;4;11;8;1.5;0.2449489742783178;0.2449489742783178;1
3.3333333333333335;2.0548046676563256;6;1;4;6;1.0;0.20786985482077452;0.20786985482077452;1
1.0;0.0;1;1;0;1;0.5;0.0;0.0;1
4.666666666666667;1.247219128924647;6;3;8;6;1.0;0.19626135258506328;0.19626135258506325;1
5.833333333333333;1.2133516482134197;7;4;15;20;2.5;0.24827351697074934;0.24827351697074934;1
3.25;1.299038105676658;5;2;7;6;0.5;0.2701272848121789;0.2701272848121789;1
4.75;2.277608394786075;7;2;10;9;0.5;0.1402287974927351;0.14022879749273506;1
4.666666666666667;2.0548046676563256;7;2;8;6;1.0;0.13110380855177337;0.13110380855177337;1
4.2;1.6;6;2;11;10;0.5;0.2494438257849294;0.24944382578492943;1
4.0;1.224744871391589;5;2;9;7;1.0;0.19803724397193578;0.19803724397193573;1
4.0;2.1213203435596424;7;2;6;10;2.0;0.37437021946796173;0.37437021946796173;1
4.0;1.0;5;3;5;3;1.0;0.23333333333333336;0.2333333333333333;1
6.5;0.5;7;6;8;5;1.5;0.2023809523809524;0.20238095238095238;1
6.0;0.0;6;6;6;6;0.0;0.33333333333333337;0.33333333333333337;1
1.5;0.5;2;1;1;2;0.5;0.5;0.5;1
3.3333333333333335;1.247219128924647;5;2;6;4;1.0;0.2454524670486058;0.2454524670486058;1
4.5;2.5;7;2;7;2;2.5;0.14285714285714285;0.14285714285714285;1
5.333333333333333;1.699673171197595;7;3;9;7;1.0;0.2291988742570421;0.2291988742570421;1
5.0;1.0;6;4;5;5;0.0;0.0;0.0;1
4.333333333333333;1.247219128924647;6;3;3;10;3.5;0.1416394309331329;0.14163943093313294;1
4.25;2.165063509461097;7;1;9;8;0.5;0.22093839754602204;0.22093839754602204;1
5.666666666666667;1.3743685418725535;7;3;17;17;0.0;0.11135178016914679;0.11135178016914679;1
5.0;1.224744871391589;7;4;9;11;1.0;0.12781274169180282;0.12781274169180282;1
5.5;1.5;7;3;5;17;6.0;0.12863204038675183;0.12863204038675186;1
5.333333333333333;1.7638342073763935;7;2;25;23;1.0;0.21618791225200373;0.21618791225200373;1
5.0;2.2038926600773587;7;1;17;18;0.5;0.2411730130662998;0.24117301306629982;1
4.333333333333333;2.0548046676563256;7;2;7;6;0.5;0.3072259023943795;0.30722590239437947;1
3.25;2.277608394786075;7;1;7;6;0.5;0.36552659804390575;0.36552659804390575;1
6.5;0.5;7;6;7;6;0.5;0.11904761904761904;0.11904761904761904;1
3.6666666666666665;1.247219128924647;5;2;5;6;0.5;0.04714045207910316;0.04714045207910316;1
7.0;0.0;7;7;5;2;1.5;0.0;0.0;1
5.0;2.160246899469287;7;2;7;8;0.5;0.0336717514850737;0.033671751485073675;1
4.5;2.0615528128088303;7;2;7;11;2.0;0.20342866060279835;0.20342866060279835;1
3.0;1.4142135623730951;5;2;5;4;0.5;0.26246692913372704;0.26246692913372704;1
5.333333333333333;0.4714045207910317;6;5;10;6;2.0;0.3281071791162978;0.32810717911629783;1
4.5;1.5;6;3;5;4;0.5;0.16666666666666666;0.16666666666666666;1
4.166666666666667;1.7716909687891083;7;2;15;10;2.5;0.19371136510417125;0.19371136510417128;1
5.0;0.0;5;5;3;2;0.5;0.0;0.0;1
3.3333333333333335;1.247219128924647;5;2;6;4;1.0;0.2454524670486058;0.2454524670486058;1
4.5;1.5;7;2;17;19;1.0;0.19086432738532877;0.1908643273853288;1
5.0;1.6903085094570331;7;2;17;18;0.5;0.24809562047986888;0.24809562047986886;1
5.25;0.4330127018922193;6;5;9;12;1.5;0.21794494717703364;0.2179449471770337;1
3.5;1.118033988749895;5;2;5;9;2.0;0.18763883748662838;0.18763883748662838;1
4.166666666666667;1.462494064565354;5;1;15;10;2.5;0.3387066905483596;0.3387066905483596;1
4.666666666666667;1.247219128924647;6;3;7;7;0.0;0.3402976184691901;0.3402976184691901;1
6.0;0.0;6;6;4;2;1.0;0.0;0.0;1
3.5;0.8660254037844386;5;3;9;5;2.0;0.17240134054647668;0.17240134054647666;1
5.5;1.5;7;4;5;6;0.5;0.035714285714285726;0.0357142857142857;1
4.333333333333333;2.0548046676563256;7;2;6;7;0.5;0.18973068393463366;0.18973068393463366;1
5.5;0.5;6;5;7;4;1.5;0.033333333333333326;0.033333333333333354;1
3.3333333333333335;1.247219128924647;5;2;5;5;0.0;0.10999438818457405;0.10999438818457406;1
3.3333333333333335;2.0548046676563256;6;1;4;6;1.0;0.2721655269759087;0.2721655269759087;1
5.2;2.2271057451320084;7;1;15;11;2.0;0.2518034722995922;0.25180347229959227;1
4.666666666666667;2.6246692913372702;7;1;7;7;0.0;0.25421614885788835;0.25421614885788835;1
4.0;2.0;6;2;5;3;1.0;0.08333333333333331;0.08333333333333334;1
4.333333333333333;2.357022603955158;6;1;8;5;1.5;0.31426968052735443;0.31426968052735443;1
2.6666666666666665;1.699673171197595;5;1;3;5;1.0;0.43204937989385733;0.43204937989385733;1
4.4;1.8547236990991407;6;1;12;10;1.0;0.3276854860651869;0.3276854860651869;1
6.0;1.0;7;5;7;5;1.0;0.15714285714285714;0.15714285714285714;1
7.0;0.0;7;7;4;3;0.5;0.0;0.0;1
3.3333333333333335;1.8856180831641267;6;2;6;4;1.0;0.41573970964154905;0.41573970964154905;1
3.6666666666666665;1.1055415967851334;5;2;13;9;2.0;0.1870003631078537;0.18700036310785373;1
6.333333333333333;0.4714045207910317;7;6;13;6;3.5;0.10823953727766555;0.10823953727766551;1
4.25;0.82915619758885;5;3;12;5;3.5;0.2466441431158124;0.24664414311581234;1
7.0;0.0;7;7;4;3;0.5;0.0;0.0;1
4.2;1.6;6;2;8;13;2.5;0.26666666666666666;0.2666666666666667;1
4.0;1.8973665961010275;7;2;12;8;2.0;0.34405742282950624;0.34405742282950624;1
4.5;1.5;6;2;10;8;1.0;0.15000000000000002;0.15;1
4.333333333333333;1.8856180831641267;7;1;15;11;2.0;0.2799869633973367;0.2799869633973367;1
5.285714285714286;1.2777531299998799;7;3;17;20;1.5;0.24804851744994683;0.24804851744994683;1
5.0;1.0;6;4;8;2;3.0;0.041666666666666685;0.04166666666666667;1
4.666666666666667;2.0548046676563256;7;2;9;5;2.0;0.12795265564328004;0.12795265564328;1
5.0;2.8284271247461903;7;1;12;3;4.5;0.11664236870396084;0.11664236870396086;1
5.5;2.598076211353316;7;1;10;12;1.0;0.31943828249996997;0.3194382824999699;1
3.6;1.019803902718557;5;2;9;9;0.0;0.17993826101687704;0.17993826101687704;1
6.0;0.0;6;6;3;3;0.0;0.0;0.0;1
2.5;1.5;4;1;4;1;1.5;0.125;0.125;1
4.2;1.7204650534085253;7;2;8;13;2.5;0.29714285714285715;0.29714285714285715;1
3.5;2.5;6;1;4;3;0.5;0.3333333333333333;0.33333333333333337;1
3.0;1.0;4;2;4;2;1.0;0.25;0.25;1
4.333333333333333;2.357022603955158;6;1;7;6;0.5;0.2721655269759087;0.2721655269759087;1
4.0;2.160246899469287;7;2;5;7;1.0;0.27584360630131377;0.27584360630131377;1
5.5;1.5;7;4;13;9;2.0;0.08748177652797065;0.08748177652797065;1
7.0;0.0;7;7;1;6;2.5;0.0;0.0;1
4.5;2.5;7;2;6;3;1.5;0.10714285714285715;0.10714285714285715;1
4.333333333333333;1.699673171197595;6;2;9;4;2.5;0.12272623352430291;0.1227262335243029;1
3.8;1.32664991614216;6;2;9;10;0.5;0.2603416558635551;0.2603416558635551;1
4.25;1.0897247358851685;6;3;6;11;2.5;0.3796013991310125;0.3796013991310125;1
4.166666666666667;1.5723301886761005;7;2;12;13;0.5;0.2399153316049815;0.2399153316049815;1
4.875;1.899835519196333;7;2;21;18;1.5;0.2708509936680592;0.2708509936680592;1
6.0;0.0;6;6;3;3;0.0;0.0;0.0;1
5.285714285714286;2.0503857277724746;7;2;22;15;3.5;0.21614033830363613;0.21614033830363613;1
3.0;1.632993161855452;5;1;4;5;0.5;0.29979416807182313;0.29979416807182313;1
5.0;2.0;7;3;6;4;1.0;0.047619047619047616;0.047619047619047616;1
6.0;0.0;6;6;12;6;3.0;0.0;0.0;1
3.6666666666666665;0.4714045207910317;4;3;3;8;2.5;0.2041241452319315;0.2041241452319315;1
3.6666666666666665;0.9428090415820634;5;3;4;7;1.5;0.2454524670486058;0.2454524670486058;1
5.5;1.8027756377319946;7;2;13;20;3.5;0.11200603320322929;0.11200603320322929;1
4.0;3.0;7;1;3;5;1.0;0.21428571428571427;0.2142857142857143;1
5.75;0.82915619758885;7;5;13;10;1.5;0.14721045603946392;0.1472104560394639;1
5.25;0.4330127018922193;6;5;11;10;0.5;0.23496453633119474;0.23496453633119474;1
5.0;0.816496580927726;6;4;7;8;0.5;0.18274315781553918;0.18274315781553915;1
3.0;2.0;5;1;2;4;1.0;0.2;0.2;1
2.0;0.0;2;2;2;2;0.0;0.0;0.0;1
2.5;0.5;3;2;3;2;0.5;0.08333333333333331;0.08333333333333334;1
4.6;1.2;6;3;13;10;1.5;0.29059326290271154;0.29059326290271154;1
3.3333333333333335;2.6246692913372702;7;1;2;8;3.0;0.4416008807378906;0.4416008807378906;1
3.0;1.0;4;2;3;3;0.0;0.375;0.375;1
5.0;1.8973665961010275;7;2;11;14;1.5;0.26304341226248923;0.26304341226248923;1
7.0;0.0;7;7;1;6;2.5;0.0;0.0;1
4.333333333333333;1.1055415967851332;6;3;15;11;2.0;0.24540530848394207;0.24540530848394204;1
3.5;2.29128784747792;7;1;6;8;1.0;0.27592030607790075;0.27592030607790075;1
5.0;1.7320508075688772;7;2;19;11;4.0;0.19414984161140186;0.19414984161140186;1
4.666666666666667;1.5986105077709065;7;2;17;11;3.0;0.3249706849580998;0.32497068495809983;1
3.0;2.0;5;1;1;5;2.0;0.1;0.09999999999999998;1
5.0;2.0;7;3;5;5;0.0;0.11904761904761904;0.11904761904761904;1
5.25;1.479019945774904;7;3;10;11;0.5;0.13271540485115982;0.13271540485115982;1
3.0;0.816496580927726;4;2;4;5;0.5;0.07856742013183862;0.0785674201318386;1
4.666666666666667;1.1055415967851332;6;3;17;11;3.0;0.22369304916986932;0.22369304916986932;1
4.0;3.0;7;1;2;6;2.0;0.14285714285714285;0.14285714285714285;1
3.6666666666666665;1.699673171197595;6;2;4;7;1.5;0.23570226039551584;0.23570226039551584;1
7.0;0.0;7;7;5;2;1.5;0.0;0.0;1
4.0;1.224744871391589;5;2;9;7;1.0;0.15000000000000002;0.15;1
6.333333333333333;0.4714045207910317;7;6;7;12;2.5;0.04489566864676492;0.04489566864676492;1
3.6666666666666665;2.0548046676563256;6;1;6;5;0.5;0.30681558381075724;0.30681558381075724;1
5.428571428571429;1.178030178747903;7;4;21;17;2.0;0.20571624283703507;0.20571624283703505;1
4.6;2.244994432064365;7;1;11;12;0.5;0.24725247591899366;0.2472524759189937;1
5.0;1.4142135623730951;7;3;13;7;3.0;0.23936565828737202;0.239365658287372;1
4.666666666666667;2.6246692913372702;7;1;9;5;2.0;0.3260736283202244;0.3260736283202244;1
4.2;2.1354156504062622;7;1;11;10;0.5;0.31276689283186715;0.3127668928318672;1
7.0;0.0;7;7;3;4;0.5;0.0;0.0;1
4.5;2.179449471770337;7;1;11;7;2.0;0.3587819529964103;0.3587819529964103;1
5.0;1.4142135623730951;7;3;13;17;2.0;0.2778132063574484;0.2778132063574484;1
3.6666666666666665;2.494438257849294;7;1;3;8;2.5;0.36748688580286426;0.36748688580286426;1
4.333333333333333;1.247219128924647;6;3;8;5;1.5;0.28327886186626583;0.2832788618662658;1
4.5;1.2583057392117916;7;3;12;15;1.5;0.25484873415237475;0.25484873415237475;1
4.25;1.7853571071357126;6;2;8;9;0.5;0.3004626062886658;0.3004626062886658;1
5.333333333333333;1.699673171197595;7;3;9;7;1.0;0.15592764051101984;0.15592764051101984;1
3.6666666666666665;1.699673171197595;6;2;2;9;3.5;0.13608276348795434;0.13608276348795434;1
5.0;1.4142135623730951;7;3;6;14;4.0;0.19290122952884847;0.19290122952884853;1
5.444444444444445;1.1653431646335017;7;4;24;25;0.5;0.31652198186062813;0.31652198186062813;1
4.0;0.816496580927726;5;3;5;7;1.0;0.19309052441091962;0.19309052441091967;1
5.0;0.0;5;5;2;3;0.5;0.0;0.0;1
5.4;1.7435595774162693;7;2;11;16;2.5;0.17651193326524417;0.1765119332652442;1
5.75;0.4330127018922193;6;5;8;15;3.5;0.2041241452319315;0.2041241452319315;1
4.5;0.5;5;4;6;3;1.5;0.15000000000000002;0.15;1
4.666666666666667;1.699673171197595;7;3;10;4;3.0;0.0341362113771533;0.034136211377153274;1
7.0;0.0;7;7;4;3;0.5;0.0;0.0;1
3.6666666666666665;0.4714045207910317;4;3;6;5;0.5;0.0785674201318386;0.07856742013183862;1
2.6666666666666665;1.247219128924647;4;1;4;4;0.0;0.30681558381075724;0.30681558381075724;1
5.5;0.5;6;5;6;5;0.5;0.04999999999999999;0.04999999999999999;1
4.5;1.5;6;3;4;5;0.5;0.16666666666666666;0.16666666666666666;1
4.75;2.277608394786075;7;1;7;12;2.5;0.3226234404902122;0.3226234404902122;1
3.3333333333333335;1.247219128924647;5;2;6;4;1.0;0.19309052441091967;0.19309052441091962;1
5.0;2.0;7;3;8;2;3.0;0.09523809523809523;0.09523809523809523;1
3.0;2.0;5;1;2;4;1.0;0.2;0.2;1
3.0;0.816496580927726;4;2;2;7;2.5;0.1416394309331329;0.14163943093313291;1
4.0;1.224744871391589;6;3;6;10;2.0;0.2525907427704613;0.2525907427704613;1
4.0;0.0;4;4;2;2;0.0;0.0;0.0;1
5.0;0.0;5;5;2;3;0.5;0.0;0.0;1
4.5;1.6583123951777;7;3;9;9;0.0;0.2750695644852815;0.2750695644852815;1
5.5;1.3844373104863459;7;3;16;17;0.5;0.14698832658815866;0.14698832658815872;1
3.5;2.5;6;1;2;5;1.5;0.16666666666666666;0.16666666666666669;1
4.25;1.920286436967152;6;1;8;9;0.5;0.2598076211353316;0.25980762113533157;1
4.0;2.1908902300206643;7;1;8;12;2.0;0.2898118867562465;0.2898118867562465;1
3.5;0.5;4;3;2;5;1.5;0.25;0.25;1
